Player.Name,Salary,Position,Age,Team,GP,MP,FGA,FG.,TRB,AST,PTS,Total.Minutes,PER,TS.,FTr,TRB.,AST.,USG.,WS,OBPM,DBPM,BPM,VORP
Pat Connaughton,5728393,SF,30,MIL,61,23.7,6.9,0.392,4.6,1.3,7.6,1443,10,0.531,0.097,10.2,6.9,13.8,2.5,-1.3,0.3,-1,0.3
Tyler Herro,5722116,SG,23,MIA,67,34.9,16.6,0.439,5.4,4.2,20.1,2337,15.3,0.566,0.164,9,19.9,25.6,3.5,1.5,-0.8,0.6,1.6
Romeo Langford,5634257,SG,23,SAS,43,19.6,6,0.467,2.7,1.2,6.9,844,10.4,0.524,0.216,7.4,7.9,15.4,0.5,-2.6,-1.5,-4.2,-0.5
Dyson Daniels,5508600,PG,19,NOP,59,17.7,3.5,0.418,3.2,2.3,3.8,1042,8.8,0.503,0.192,10.2,16.4,11.6,1.3,-3.4,1.6,-1.8,0
JaVale McGee,5461219,C,35,DAL,42,8.5,3,0.64,2.5,0.3,4.4,355,17.2,0.65,0.328,17.5,5.2,22.8,0.6,-3.6,-0.1,-3.7,-0.1
Goga Bitadze,5377520,C,23,ORL/IND,38,12,3.3,0.552,3.6,1,4.4,457,17.1,0.582,0.336,16.8,12.1,15.4,1.3,-0.8,1.1,0.3,0.3
Obi Toppin,5348280,PF,24,NYK,67,15.7,6.3,0.446,2.8,1,7.4,1050,13.6,0.565,0.112,9.8,9.2,19.5,2.1,0.3,-0.8,-0.5,0.4
Franz Wagner,5258280,SF,21,ORL,80,32.6,14,0.485,4.1,3.5,18.6,2609,15.9,0.589,0.288,7.1,17.2,23.5,5.4,0.4,-0.5,-0.1,1.3
Kendrick Nunn,5250000,SG,27,LAL/WAS,70,13.8,6.4,0.424,1.6,1.3,7.1,964,11.1,0.53,0.091,6.2,13.8,23.7,0.2,-2,-1.5,-3.5,-0.4
Hamidou Diallo,5200000,SF,24,DET,56,17.8,6.7,0.573,3.5,1,9.3,996,15.7,0.593,0.395,10.8,9.2,21.8,1.3,-1.8,0.4,-1.4,0.1
Cory Joseph,5155500,PG,31,DET,62,19.8,5.7,0.427,1.7,3.5,6.9,1227,12.1,0.558,0.205,4.8,25.4,15.2,1.8,-0.7,-0.8,-1.5,0.2
Garrett Temple,5155500,SG,36,NOP,25,6.5,1.8,0.4,0.7,0.5,2,162,10.5,0.535,0.089,5.9,10.6,13.4,0.3,-2.5,1.6,-1,0
Torrey Craig,5121951,PF,32,PHO,79,24.7,6.3,0.456,5.4,1.5,7.4,1948,11.6,0.566,0.09,12.1,7.9,13,4,-1.3,0.7,-0.6,0.7
Jeremy Sochan,5063520,PF,19,SAS,56,26,9.9,0.453,5.3,2.5,11,1458,11.4,0.509,0.21,11,13.6,19.8,0.2,-2.8,-1.2,-4,-0.7
Nickeil Alexander-Walker,5009633,SG,24,MIN/UTA,59,15,5,0.444,1.7,1.8,6.2,884,11.6,0.565,0.203,6.3,16.7,17.9,1.1,-1.4,0.4,-0.9,0.2
Furkan Korkmaz,5000000,SG,25,PHI,37,9.5,3,0.432,1.1,0.6,3.8,353,9.3,0.552,0.324,7,8.8,19.1,0.1,-3.3,-1,-4.4,-0.2
Deni Avdija,4916160,SF,22,WAS,76,26.6,7.6,0.437,6.4,2.8,9.2,2020,11.2,0.535,0.285,13.4,13.9,16.7,2.3,-2.8,0.5,-2.3,-0.1
Davion Mitchell,4833600,PG,24,SAC,80,18.1,5,0.454,1.3,2.3,5.6,1447,9.4,0.545,0.078,4.1,16.5,14.1,1.5,-2.4,-0.4,-2.8,-0.3
Johnny Davis,4810320,SG,20,WAS,28,15.1,6.1,0.386,2.3,1,5.8,423,7.2,0.446,0.158,8.5,9.2,20.5,-0.3,-5.8,-1.7,-7.4,-0.6
Ty Jerome,4728948,SG,25,GSW,45,18.1,5.4,0.488,1.7,3,6.9,816,12.8,0.594,0.169,5.3,22.1,14.9,2.1,-1.1,0.3,-0.8,0.3
Jalen Smith,4670160,C,22,IND,68,18.8,7.5,0.476,5.8,1,9.4,1279,15.9,0.565,0.27,17.1,7.6,21,2.3,-0.9,-1.1,-2.1,0
Ziaire Williams,4591680,SF,21,MEM,37,15.2,5.3,0.429,2.1,0.9,5.7,561,7.4,0.511,0.112,7.5,8.2,18,0.1,-4.7,-0.8,-5.6,-0.5
Ousmane Dieng,4569840,PF,19,OKC,39,14.6,4.6,0.42,2.7,1.2,4.9,569,9.3,0.505,0.127,9.9,10.7,15.9,0.4,-3.1,-0.5,-3.6,-0.2
Jeff Green,4500000,PF,36,DEN,56,19.5,5.9,0.488,2.6,1.2,7.8,1091,11,0.576,0.357,7.6,8.3,17,1.7,-2.4,-1,-3.4,-0.4
Donte DiVincenzo,4500000,SG,26,GSW,72,26.3,7.5,0.435,4.5,3.5,9.4,1894,12.8,0.593,0.131,9.4,17.3,15.1,4.2,-0.6,1.3,0.7,1.3
Devin Vassell,4437000,SG,22,SAS,38,31,15.7,0.439,3.9,3.6,18.5,1178,15.5,0.55,0.168,6.9,17.3,24.4,1.2,1.3,-0.9,0.4,0.7
Matisse Thybulle,4379526,SF,25,PHI/POR,71,16.9,3.6,0.435,2,0.7,4.1,1200,10.5,0.552,0.111,6.8,5.9,10.6,2.1,-2.7,2.2,-0.5,0.4
Jarred Vanderbilt,4374000,PF,23,LAL/UTA,78,24.1,5.8,0.548,7.5,2.4,7.9,1879,15.1,0.604,0.308,16.7,13.1,13.6,5.2,-0.6,1.6,1.1,1.5
James Bouknight,4362240,SG,22,CHO,34,15.1,5.7,0.358,2.1,1.2,5.6,515,6.2,0.463,0.155,7.5,11.1,19.5,-0.4,-5.4,-1.1,-6.5,-0.6
Brandon Clarke,4343919,PF,26,MEM,56,19.5,6.2,0.656,5.5,1.3,10,1090,20,0.682,0.393,15.1,9.5,17.7,4.5,0.8,1.8,2.5,1.3
